stateFIPS,stateName,seatid,Challenger,Candidate_encumbent,encumbentPartyCandidate,encumbentparty,result.i,result.d,result.r,election,result.name,result.winner,order
AK,Alabama,AK2,Doug Jones,,Tommy Tuberville,R,,0.398,0.602,Yes,Tommy Tuberville,R,YesD
AK,Alabama,AK1,,,,,,,,,Richard Shelby,R,R
AL,Alaska,AL2,Al Gross,,Dan Sullivan,R,0.413,,0.54,Yes,Dan Sullivan,R,YesR
AL,Alaska,AL1,,,,,,,,,Lisa Murkowski,R,R
AR,Arizona,AR1,Martha McSally,,Martha McSally,R,,0.512,0.488,Yes,Mark Kelly,D,YesD
AR,Arizona,AR2,,,,,,,,,Mark Kelly,D,D
AZ,Arkansas,AZ1,Ricky Dale Harrington,,Tom Cotton,R,,-,0.665,Yes,John Boozman,R,YesR
AZ,Arkansas,AZ2,,,,,,,,,Tom Cotton,R,R
CA,California,CA1,,,,,,,,,Dianne Feinstein,D,D
CA,California,CA2,,,,,,,,,Kamala Harris,D,D
CO,Colorado,CO2,John Hickenlooper,,Cory Gardner,R,,0.535,0.442,Yes,Cory Gardner,R,YesR
CO,Colorado,CO1,,,,,,,,,Michael Bennet,D,D
CT,Connecticut,CT1,,,,,,,,,Richard Blumenthal,D,D
CT,Connecticut,CT2,,,,,,,,,Chris Murphy,D,D
DE,Delaware,DE2,Lauren Witzke,,Chris Coons,D,,0.594,0.379,Yes,Chris Coons,D,YesD
DE,Delaware,DE1,,,,,,,,,Tom Carper,D,D
FL,Florida,FL1,,,,,,,,,Marco Rubio,R,R
FL,Florida,FL2,,,,,,,,,Rick Scott,R,R
GA,Georgia,GA1,Raphael Warnock,,Kelly Loeffler,R,,0.329,0.259,Yes,,B,YesB
GA,Georgia,GA2,Jon Ossoff,,David Perdue,R,,0.479,0.497,Yes,,B,YesB
HI,Hawaii,HI1,,,,,,,,,Brian Schatz,D,D
HI,Hawaii,HI2,,,,,,,,,Mazie Hirono,D,D
IA,Idaho,IA2,Paulette Jordan,,Jim Risch,R,,0.332,0.626,Yes,Jim Risch,R,YesR
IA,Idaho,IA1,,,,,,,,,Mike Crapo,R,R
ID,Illinois,ID1,Mark Curran,,Richard Durbin,D,,0.389,0.549,Yes,Richard Durbin,D,YesD
ID,Illinois,ID2,,,,,,,,,Tammy Duckworth,D,D
IL,Indiana,IL1,,,,,,,,,Todd Young,R,R
IL,Indiana,IL2,,,,,,,,,Mike Braun,R,R
IN,Iowa,IN2,Theresa Greenfield,,Joni Ernst,R,,0.452,0.518,Yes,Joni Ernst,R,YesR
IN,Iowa,IN1,,,,,,,,,Chuck Grassley,R,R
KS,Kansas,KS1,Barbara Bollier,Pat Roberts,Roger Marshall,R,,0.418,0.532,Yes,Roger Marshall,R,YesR
KS,Kansas,KS2,,,,,,,,,Jerry Moran,R,R
KY,Kentucky,KY1,Amy McGrath,,Mitch McConnell,R,,0.382,0.578,Yes,Mitch McConnell,R,YesR
KY,Kentucky,KY2,,,,,,,,,Rand Paul,R,R
LA,Louisiana,LA1,Adrian Perkins,,Bill Cassidy,R,,0.19,0.593,Yes,Bill Cassidy,R,YesR
LA,Louisiana,LA2,,,,,,,,,John Kennedy,R,R
MA,Maine,MA1,Sara Gideon,,Susan Collins,R,,0.424,0.51,Yes,Susan Collins,R,YesR
MA,Maine,MA2,,,,,,,,,Angus King,I,I
MD,Maryland,MD1,,,,,,,,,Ben Cardin,D,D
MD,Maryland,MD2,,,,,,,,,Chris Van Hollen,D,D
ME,Massachusetts,ME2,Kevin O'Connor,,Ed Markey,D,,0.667,0.333,Yes,Ed Markey,D,YesD
ME,Massachusetts,ME1,,,,,,,,,Elizabeth Warren,D,D
MI,Michigan,MI2,John James,,Gary Peters,D,,0.499,0.482,Yes,Gary Peters,D,YesD
MI,Michigan,MI1,,,,,,,,,Debbie Stabenow,D,D
MN,Minnesota,MN2,Jason Lewis,,Tina Smith,D,,0.488,0.435,Yes,Tina Smith,D,YesD
MN,Minnesota,MN1,,,,,,,,,Amy Klobuchar,D,D
MO,Mississippi,MO2,Mike Espy,,Cindy Hyde-Smith,R,,0.441,0.541,Yes,Cindy Hyde-Smith,R,YesR
MO,Mississippi,MO1,,,,,,,,,Roger Wicker,R,R
MS,Missouri,MS1,,,,,,,,,Roy Blunt,R,R
MS,Missouri,MS2,,,,,,,,,Josh Hawley,R,R
MT,Montana,MT2,Steve Bullock,,Steve Daines,R,,0.45,0.55,Yes,Steve Daines,R,YesR
MT,Montana,MT1,,,,,,,,,Jon Tester,D,D
NC,Nebraska,NC2,Chris Janicek,,Ben Sasse,R,,0.262,0.674,Yes,Ben Sasse,R,YesR
NC,Nebraska,NC1,,,,,,,,,Deb Fischer,R,R
ND,Nevada,ND1,,,,,,,,,Catherine Cortez Masto,D,D
ND,Nevada,ND2,,,,,,,,,Jacky Rosen,D,D
NE,New Hampshire,NE1,Corky Messner,,Jeanne Shaheen,D,,0.567,0.41,Yes,Jeanne Shaheen,D,YesD
NE,New Hampshire,NE2,,,,,,,,,Maggie Hassan,D,D
NH,New Jersey,NH2,Rik Mehta,,Cory Booker,D,,0.567,0.41,Yes,Cory Booker,D,YesD
NH,New Jersey,NH1,,,,,,,,,Bob Menendez,D,D
NJ,New Mexico,NJ1,Ben Ray Luján,Tom Udall,Mark Ronchetti,D,,0.572,0.409,Yes,Ben Ray Luján,D,YesD
NJ,New Mexico,NJ2,,,,,,,,,Martin Heinrich,D,D
NM,New York,NM1,,,,,,,,,Chuck Schumer,D,D
NM,New York,NM2,,,,,,,,,Kirsten Gillibrand,D,D
NV,North Carolina,NV2,Cal Cunningham,,Thom Tillis,R,,0.469,0.487,Yes,Thom Tillis,R,YesR
NV,North Carolina,NV1,,,,,,,,,Richard Burr,R,R
NY,North Dakota,NY1,,,,,,,,,John Hoeven,R,R
NY,North Dakota,NY2,,,,,,,,,Kevin Cramer,R,R
OH,Ohio,OH1,,,,,,,,,Sherrod Brown,D,D
OH,Ohio,OH2,,,,,,,,,Rob Portman,R,R
OK,Oklahoma,OK1,Abby Broyles,,Jim Inhofe,R,,0.328,0.629,Yes,Jim Inhofe,R,YesR
OK,Oklahoma,OK2,,,,,,,,,James Lankford,R,R
OR,Oregon,OR2,Jo Rae Perkins,,Jeff Merkley,D,,0.569,0.393,Yes,Jeff Merkley,D,YesD
OR,Oregon,OR1,,,,,,,,,Ron Wyden,D,D
PA,Pennsylvania,PA1,,,,,,,,,Bob Casey Jr.,D,D
PA,Pennsylvania,PA2,,,,,,,,,Pat Toomey,R,R
RI,Rhode Island,RI1,Allen Waters,,Jack Reed,D,,0.666,0.334,Yes,Jack Reed,D,YesD
RI,Rhode Island,RI2,,,,,,,,,Sheldon Whitehouse,D,D
SC,South Carolina,SC1,Jaime Harrison,,Lindsey Graham,R,,0.442,0.545,Yes,Lindsey Graham,R,YesR
SC,South Carolina,SC2,,,,,,,,,Tim Scott,R,R
SD,South Dakota,SD2,Dan Ahlers,,Mike Rounds,R,,0.343,0.657,Yes,Mike Rounds,R,YesR
SD,South Dakota,SD1,,,,,,,,,John Thune,R,R
TN,Tennessee,TN1,Marquita Bradshaw,Lamar Alexander,Bill Hagerty,R,,0.352,0.622,Yes,Bill Hagerty,R,YesR
TN,Tennessee,TN2,,,,,,,,,Marsha Blackburn,R,R
TX,Texas,TX1,MJ Hegar,,John Cornyn,R,,0.439,0.535,Yes,John Cornyn,R,YesR
TX,Texas,TX2,,,,,,,,,Ted Cruz,R,R
UT,Utah,UT1,,,,,,,,,Mike Lee,D,R
UT,Utah,UT2,,,,,,,,,Mitt Romney,R,R
VA,Vermont,VA1,,,,,,,,,Patrick Leahy,D,D
VA,Vermont,VA2,,,,,,,,,Bernie Sanders,I,I
VT,Virginia,VT1,Daniel Gade,,Mark Warner,D,,0.56,0.44,Yes,Mark Warner,D,YesD
VT,Virginia,VT2,,,,,,,,,Tim Kaine,D,D
WA,Washington,WA1,,,,,,,,,Patty Murray,D,D
WA,Washington,WA2,,,,,,,,,Maria Cantwell,D,D
WI,West Virginia,WI2,Paula Jean Swearengin,,Shelley Moore Capito,R,,0.27,0.703,Yes,Shelley Moore Capito,R,YesR
WI,West Virginia,WI1,,,,,,,,,Joe Manchin,D,D
WV,Wisconsin,WV1,,,,,,,,,Ron Johnson,R,R
WV,Wisconsin,WV2,,,,,,,,,Tammy Baldwin,D,D
WY,Wyoming,WY1,Merav Ben-David,Mike Enzi,Cynthia Lummis,R,,0.269,0.731,Yes,Cynthia Lummis,R,YesR
WY,Wyoming,WY2,,,,,,,,,John Barrasso,R,R
