dayToElection,ev2020,ev2021
1,39678,NA
2,6118,NA
3,27566,NA
4,261083,NA
5,193375,NA
6,231424,NA
7,218320,214080
8,234174,213456
9,45562,19900
10,155009,23932
11,217685,742
12,208233,19645
13,218088,178498
14,221138,190157
15,240645,211696
16,46154,32126
17,91903,91936
18,232234,217434
19,233427,208313
20,202788,209619
21,195684,227910
22,183477,240583
23,3710,3272
24,14413,9343
25,40532,16041
26,51932,44469
27,35163,56043
28,32691,48079
29,44943,45421
30,1737,56872
31,8719,2030
32,36911,18743
33,39978,7646
34,39185,12116
35,32959,13828
